words,A MIDSUMMER NIGHT’S DREAM,ALL’S WELL THAT ENDS WELL,AS YOU LIKE IT,CYMBELINE,KING HENRY THE EIGHTH,KING JOHN,KING RICHARD THE SECOND,KING RICHARD THE THIRD,LOVE’S LABOUR’S LOST,MEASURE FOR MEASURE,MUCH ADO ABOUT NOTHING,"PERICLES, PRINCE OF TYRE",THE COMEDY OF ERRORS,THE FIRST PART OF HENRY THE SIXTH,THE FIRST PART OF KING HENRY THE FOURTH,THE HISTORY OF TROILUS AND CRESSIDA,THE LIFE OF KING HENRY THE FIFTH,THE LIFE OF TIMON OF ATHENS,THE MERCHANT OF VENICE,THE RAPE OF LUCRECE,THE SECOND PART OF KING HENRY THE FOURTH,THE SECOND PART OF KING HENRY THE SIXTH,THE TAMING OF THE SHREW,THE TEMPEST,THE THIRD PART OF KING HENRY THE SIXTH,THE TRAGEDY OF ANTONY AND CLEOPATRA,THE TRAGEDY OF CORIOLANUS,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",THE TRAGEDY OF JULIUS CAESAR,THE TRAGEDY OF KING LEAR,THE TRAGEDY OF MACBETH,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",THE TRAGEDY OF ROMEO AND JULIET,THE TRAGEDY OF TITUS ANDRONICUS,THE TWO GENTLEMEN OF VERONA,THE WINTER’S TALE,"TWELFTH NIGHT: OR, WHAT YOU WILL",VENUS AND ADONIS
and,0.021330420284022,0.020618974317427,0.02343784161966,0.018724661581805,0.021194605009634,0.019877255656316,0.020908158029759,0.019151453144483,0.017936245982802,0.018734750784245,0.023040056281054,0.018285311303647,0.018749615786562,0.020311679215549,0.025520143380348,0.021967354569641,0.029283534370004,0.020482846251588,0.021218834158631,0.016222325643242,0.024529786168919,0.022760236527948,0.023322312572603,0.021187637719645,0.020684598464091,0.018696520788571,0.019349554653107,0.021941427282064,0.020668028697677,0.021618127625956,0.022412585528797,0.020972286621251,0.018536959019533,0.024823838253581,0.018579884361359,0.020006833453552,0.020523345305285,0.02123749234225
another,0.000459955154372,0.000405087904075,0.000612182430364,0.000343571772143,0.000346820809249,0.000320600897683,0.000256541816316,0.000447613262142,0.000173716668114,0.000304984315092,0.000527634876665,0.000352609308886,0.000368844900719,0.000262651024339,0.000311696407699,0.000611202991299,0.000254323499491,0.000355781448539,0.000716705759708,0.000398909646965,0.000250303940499,0.000185949644836,0.000268072558306,0.00022600146901,0.000463088025315,0.000414640582005,0.000443640582875,0.000280103327005,0.000237563548249,0.000359105110066,0.000269382037606,0.000392338695296,0.000382995021065,0.000368442868328,0.000754165047878,0.000531490831783,0.000373151732823,0.000510516642843
answer,0.000287471971483,0.000769667017743,0.000349818531637,0.000446643303786,0.000308285163776,0.000641201795365,0.000470326663246,0.000191834255204,0.000130287501086,0.000435691878703,0.001011300180275,0.000100745516825,0.000614741501199,0.000569077219401,0.000428582560586,0.000539296757029,0.000726638569975,0.000508259212198,0.000412648770741,0.000199454823482,0.000250303940499,0.00040908921864,0.000178715038871,0.000169501101757,0.000385906687763,0.000263862188548,0.000511892980241,0.000404593694563,0.000427614386848,0.000574568176105,0.000269382037606,0.000356671541178,0.000306396016852,9.21107170819325E-05,0.000114267431497,0.000265745415892,0.000606371565838,0.000306309985706
any,0.000459955154372,0.000891193388965,0.001224364860729,0.000446643303786,0.000693641618497,0.000687001923605,0.000598597571404,0.000767337020814,0.000434291670286,0.001176368072499,0.002154509079717,0.000805964134596,0.000983586401918,0.000919278585186,0.001013013325021,0.00068310922557,0.001126289783462,0.000355781448539,0.001194509599514,0.000132969882322,0.000858184938854,0.00066941872141,0.000893575194353,0.000960506243291,0.000540269362868,0.00018847299182,0.000580145377606,0.000373471102673,0.000760203354397,0.000466836643085,0.000323258445127,0.000820344544709,0.000574492531597,0.000506608943951,0.001051260369769,0.000949090771041,0.001166099165073,0.000408413314274
are,0.003449663657793,0.003483755975047,0.00428527701255,0.003607503607504,0.004739884393064,0.002061005770816,0.003292286642723,0.002589762445247,0.004342916702858,0.003180550714535,0.003649474563602,0.004080193431392,0.002336017704555,0.002932936438452,0.003000077924102,0.003523405479255,0.003451533207383,0.003913595933926,0.003257753453219,0.002260487999468,0.003218193520704,0.002900814459444,0.003529622017693,0.004011526074919,0.002739937483117,0.002864789475668,0.004845920212947,0.003734711026734,0.004513707416734,0.004165619276762,0.003394213673832,0.003281378178835,0.002412868632708,0.003546262607654,0.004296455424275,0.003796363084165,0.003544941461822,0.00275678987135
art,0.000919910308745,0.000850684598558,0.000962000962001,0.000996358139215,0.000231213872832,0.001007602821288,0.00106892423465,0.000511558013876,0.000564579171371,0.001219937260369,0.000395726157499,0.000805964134596,0.001352431302637,0.001138154438802,0.00214291280293,0.000898827928381,0.000326987356489,0.001575603557814,0.000477803839805,0.000864304235091,0.001001215761997,0.001004128082115,0.000491466356894,0.001469009548562,0.000810404044302,0.000640808172189,0.000477766781558,0.000466838878342,0.000950254192997,0.001400509929256,0.000754269705296,0.000713343082355,0.00195327460743,0.00096716252936,0.000914139451973,0.000987054401883,0.000979523298661,0.000918929957117
as,0.005576956246766,0.003767317507899,0.00590318772137,0.006081220366935,0.004200385356455,0.004351012182834,0.003933641183513,0.003133292834991,0.005168070876401,0.005881840362496,0.005320318339709,0.005087648599637,0.002704862605274,0.003545788828576,0.006935245071301,0.005932264327317,0.00559511698881,0.003049555273189,0.005364434019633,0.002858852469916,0.005256382750483,0.004685931049872,0.006433741399339,0.004350528278434,0.004592289584379,0.003618681442949,0.005391939391871,0.004730633967197,0.004846296384283,0.003411498545624,0.002963202413663,0.004066055569426,0.004595940252777,0.004144982268687,0.004982060013255,0.006301962719715,0.005970427725174,0.005411476414131
at,0.002184786983269,0.002471036214859,0.002448729721457,0.002611145468288,0.002389210019268,0.00256480718146,0.002394390285617,0.00290948620392,0.002388604186572,0.002047751829906,0.002330387371939,0.003727584122507,0.004549087108871,0.002714060584836,0.003116964076989,0.002444811965197,0.002724894637407,0.002337992376112,0.003149161671445,0.002326972940629,0.00268182793392,0.002454535311838,0.003127513180234,0.002655517260862,0.002971481495774,0.002714011082212,0.002388833907791,0.002303071799819,0.00280324986934,0.001975078105361,0.00237056193093,0.002211363555302,0.002451168134814,0.002901487588081,0.002445323034029,0.001898181542083,0.002705350062969,0.003063099857055
away,0.001149887885931,0.00097221096978,0.000743364379728,0.000515357658215,0.000500963391137,0.000870202436567,0.000983410295878,0.00035169613454,0.001085729175714,0.000740676193796,0.000615574022776,0.000554100342535,0.000799163951558,0.000744177902294,0.001013013325021,0.000215718702812,0.000617642784479,0.000762388818297,0.000890452610546,0.00079781929393,0.000750911821498,0.001450407229722,0.000580823876329,0.000508503305271,0.001003357388184,0.000603113573825,0.000682523973655,0.000684697021568,0.000665177935098,0.001113225841204,0.000538764075211,0.000820344544709,0.000727690540023,0.001059273246442,0.000662751102681,0.0004555635701,0.000886235365455,0.000612619971411
back,0.000574943942966,0.000121526371223,0.000174909265818,0.000274857417715,0.000423892100193,0.000595401667125,0.000555840602018,0.000319723758673,0.000173716668114,0.000304984315092,0.000175878292222,5.03727584122507E-05,0.000368844900719,0.000437751707232,0.000545468713473,0.000359531171353,0.000435983141985,0.000559085133418,0.000173746850838,0.000465394588126,0.000464850175213,0.000371899289672,0.000268072558306,0.000282501836262,0.000424497356539,0.000527724377097,0.000477766781558,0.000248980735116,0.000617665225448,0.000430926132079,0.000323258445127,0.000249670078824,0.001072386058981,0.000368442868328,9.14139451973399E-05,0.000151854523367,0.000186575866412,0.000816826628548
be,0.005634450641063,0.007251073482946,0.007914644278281,0.007970865113722,0.00655105973025,0.007190620133736,0.006712844193604,0.006586309428654,0.006080083384001,0.008583130010457,0.007782614430814,0.006397340318356,0.004549087108871,0.009455436876204,0.007519675835736,0.00636370173294,0.006067432059294,0.005895806861499,0.008252975414821,0.005518250116349,0.006329113924051,0.008814013165235,0.008846394424091,0.006723543703034,0.0074865897426,0.006219608730069,0.006688734941815,0.006349008745448,0.006414215802727,0.005386576650986,0.006734550940143,0.007454435210615,0.007583301417082,0.006447750195735,0.007701624882876,0.00873163509358,0.009048929520966,0.005819889728405
bear,0.000574943942966,0.000202543952038,0.000918273645546,0.000137428708857,0.000693641618497,0.000732802051846,0.000342055755088,0.000575502765611,0.000217145835143,0.000348553502963,0.000527634876665,0.000302236550474,0.001168008852278,0.000393976536508,0.000428582560586,0.000539296757029,0.000399651213486,0.000508259212198,0.000434367127096,0.001063759058573,0.000858184938854,0.00066941872141,0.000625502636047,0.000565003672524,0.000926176050631,0.000603113573825,0.000716650172337,0.000404593694563,0.000950254192997,0.000502747154092,0.000592640482733,0.000535007311767,0.000421294523171,0.000598719661033,0.000205681376694,0.000949090771041,0.000466439666029,0.000306309985706
been,0.00017248318289,0.000688649436928,0.000962000962001,0.001168144025287,0.000693641618497,0.000503801410644,0.000726868479562,0.000639447517345,0.000738295839486,0.000827814569536,0.001011300180275,0.001360064477131,0.000676215651319,0.00096305375591,0.000935089223097,0.000395484288488,0.000399651213486,0.000711562897078,0.000847015897837,0.000199454823482,0.000929700350426,0.000780988508312,0.0007595389152,0.000395502570767,0.000540269362868,0.000527724377097,0.001092038357847,0.000809187389126,0.000475127096498,0.001041404819191,0.001185280965465,0.000784677390591,0.000765990042129,0.000598719661033,0.000434216239687,0.0013666907103,0.000746303465647,0.000408413314274
before,0.000459955154372,0.00097221096978,0.000830819012637,0.000515357658215,0.00111753371869,0.001099203077769,0.000513083632632,0.000575502765611,0.000434291670286,0.001132798884629,0.000659543595832,0.000705218617772,0.000553267351079,0.000525302048678,0.000467544611548,0.000575249874164,0.000690306641477,0.000864040660737,0.000629832334289,0.000598364470447,0.000929700350426,0.000818178437279,0.000804217674917,0.000621504039776,0.000617450700421,0.000716197368917,0.001262669351261,0.00056020665401,0.000570152515798,0.000610478687112,0.001131404557944,0.000535007311767,0.000727690540023,0.000368442868328,0.000617044130082,0.000721308985991,0.000932879332058,0.00071472329998
being,0.000459955154372,0.000405087904075,0.000699637063273,0.001305572734144,0.000539499036609,0.000503801410644,0.000555840602018,0.000639447517345,0.000564579171371,0.000827814569536,0.000747482741943,0.000755591376184,0.000860638101678,0.000262651024339,0.000701316917323,0.000431437405623,0.000544978927481,0.000406607369759,0.000412648770741,0.001329698823217,0.000500607880998,0.000818178437279,0.000536145116612,0.000791005141533,0.000617450700421,0.000716197368917,0.000853154967068,0.000280103327005,0.000332588967549,0.000538657665099,0.00048488766769,0.000570674465884,0.000459594025278,0.000276332151246,0.000639897616381,0.001025018032725,0.000466439666029,0.00204206657137
best,0.000574943942966,0.000364579113668,0.000262363898728,0.000721500721501,0.000655105973025,0.000549601538884,0.000171027877544,0.000287751382805,0.000564579171371,0.000348553502963,0.000175878292222,0.000654845859359,0.00012294830024,0.000306426195062,0.000194810254812,0.000179765585676,0.000726638569975,0.000813214739517,0.000390930414386,0.000132969882322,0.00032181935207,0.000334709360705,0.000714860155482,0.000791005141533,0.000424497356539,0.000753891967281,0.000546019178924,0.000342348510784,0.000570152515798,0.000754120731138,0.000431011260169,0.000570674465884,0.000459594025278,0.000230276792705,0.000754165047878,0.000873163509358,0.000373151732823,0.000816826628548
better,0.000229977577186,0.000567123065705,0.001311819493638,0.000584072012643,0.000578034682081,0.000641201795365,0.000299298785702,0.000543530389743,0.000477720837314,0.000871383757407,0.000615574022776,0.000654845859359,0.000307370750599,0.000437751707232,0.000740278968285,0.000790968576976,0.000726638569975,0.000660736975858,0.000890452610546,0.000265939764643,0.001036973467782,0.000371899289672,0.000625502636047,0.00022600146901,0.000578860031644,0.000716197368917,0.000511892980241,0.000466838878342,0.000712690644747,0.000933673286171,0.000377134852648,0.000499340157649,0.000459594025278,0.000414498226869,0.000617044130082,0.000873163509358,0.000839591398853,0.000204206657137
between,0.000229977577186,0.000243052742445,0.000131181949364,0.000137428708857,0.00019267822736,4.58001282403591E-05,4.27569693860099E-05,0.000191834255204,8.68583340571528E-05,0.000217845939352,0.000307787011388,0.000100745516825,0.00012294830024,0.000131325512169,3.89620509623627E-05,0.000431437405623,0.00029065542799,5.08259212198221E-05,0.00049952219616,0.000265939764643,0.000214546234714,0.000223139573803,8.93575194352605E-05,0.000169501101757,0.000192953343881,0.000527724377097,0.000341261986827,0.000404593694563,4.75127096498313E-05,0.000395015621072,0.000107752815042,0.000249670078824,0.000114898506319,0.000276332151246,4.57069725986699E-05,0.000265745415892,0.000279863799618,0.000204206657137
bid,0.000229977577186,0.000243052742445,0.000306091215182,0.000343571772143,0.000154142581888,0.000366401025923,0.000384812724474,0.000415640886274,0.000130287501086,0.000348553502963,0.000791452314998,0.000302236550474,0.000491793200959,4.37751707231658E-05,0.000155848203849,0.000215718702812,0.000254323499491,0.000355781448539,0.000477803839805,6.64849411608271E-05,0.000250303940499,0.000371899289672,0.000804217674917,0.000169501101757,0.00030872535021,0.000263862188548,6.82523973654575E-05,0.000155612959447,0.000570152515798,0.000179552555033,0.000377134852648,0.000249670078824,0.000727690540023,0.000506608943951,6.85604588980049E-05,0.000189818154208,0.000279863799618,0.000510516642843
